,start_anomaly,anomaly sample length,prob_anomaly,lat,lon
205,2021-08-08 00:00:00,37.0,0.95,25.929203,-80.312004
206,0,,0.0,25.929209,-80.31197
207,0,,0.0,25.929214,-80.311935
208,0,,0.0,25.92922,-80.311905
209,0,,0.0,25.929226,-80.31187
210,0,,0.0,25.929232,-80.31184
211,0,,0.0,25.929237,-80.3118
212,0,,0.0,25.929243,-80.31177
213,0,,0.0,25.929249,-80.31173
214,0,,0.0,25.929255,-80.3117
215,0,,0.0,25.92926,-80.31166
216,2021-10-19 00:00:00,11.0,0.95,25.929266,-80.31163
217,0,,0.0,25.929272,-80.31159
218,0,,0.0,25.929277,-80.31156
219,0,,0.0,25.929283,-80.31152
220,2019-05-03 00:00:00,9.0,0.95,25.929289,-80.311485
221,2021-11-24 00:00:00,8.0,0.95,25.929295,-80.311455
222,0,,0.0,25.9293,-80.31142
223,2022-09-20 00:00:00,6.0,0.95,25.929306,-80.31138
224,0,,0.0,25.929312,-80.31134
225,0,,0.0,25.929317,-80.3113
226,0,,0.0,25.929325,-80.311264
227,0,,0.0,25.92933,-80.311226
228,0,,0.0,25.929337,-80.31119
229,0,,0.0,25.929342,-80.31115
230,0,,0.0,25.929348,-80.31112
231,0,,0.0,25.929354,-80.31108
232,0,,0.0,25.92936,-80.31105
233,0,,0.0,25.929365,-80.31101
234,0,,0.0,25.92937,-80.31098
235,2020-09-06 00:00:00,62.0,0.95,25.929329,-80.31203
236,0,,0.0,25.929335,-80.31199
237,0,,0.0,25.92934,-80.31196
238,0,,0.0,25.929346,-80.31192
239,0,,0.0,25.92935,-80.31189
240,0,,0.0,25.929356,-80.31185
241,2020-10-24 00:00:00,5.0,0.95,25.929361,-80.31182
242,0,,0.0,25.929367,-80.31178
243,0,,0.0,25.929373,-80.31175
244,0,,0.0,25.929379,-80.311714
245,0,,0.0,25.929384,-80.31168
246,0,,0.0,25.92939,-80.311646
247,0,,0.0,25.929396,-80.311615
248,0,,0.0,25.929401,-80.31158
249,0,,0.0,25.929407,-80.31155
250,0,,0.0,25.929413,-80.31151
251,2020-12-23 00:00:00,13.0,0.95,25.929419,-80.31148
252,2021-02-21 00:00:00,35.0,0.95,25.929424,-80.31144
253,0,,0.0,25.92943,-80.3114
254,0,,0.0,25.929436,-80.31137
255,0,,0.0,25.929441,-80.31133
256,0,,0.0,25.929447,-80.311295
257,0,,0.0,25.929455,-80.31126
258,0,,0.0,25.92946,-80.31122
259,0,,0.0,25.929466,-80.31118
260,0,,0.0,25.929472,-80.31114
261,0,,0.0,25.929478,-80.31111
262,0,,0.0,25.929483,-80.31107
263,0,,0.0,25.92949,-80.31104
264,0,,0.0,25.929495,-80.31101
265,0,,0.0,25.929453,-80.31204
266,2021-07-03 00:00:00,40.0,0.95,25.929459,-80.31201
267,0,,0.0,25.929464,-80.31197
268,2021-08-08 00:00:00,37.0,0.95,25.92947,-80.31194
269,0,,0.0,25.929476,-80.311905
270,2021-06-09 00:00:00,31.0,0.95,25.929482,-80.311874
271,2021-08-08 00:00:00,37.0,0.95,25.929487,-80.31184
272,2021-11-12 00:00:00,30.0,0.95,25.929493,-80.311806
273,0,,0.0,25.929499,-80.31177
274,0,,0.0,25.929504,-80.31174
275,0,,0.0,25.92951,-80.3117
276,0,,0.0,25.929516,-80.31167
277,2018-06-25 00:00:00,11.0,0.95,25.92952,-80.31163
278,2021-09-25 00:00:00,33.0,0.95,25.929525,-80.3116
279,0,,0.0,25.929531,-80.31156
280,2022-04-17 00:00:00,16.0,0.95,25.929537,-80.31153
281,0,,0.0,25.929543,-80.31149
282,2022-11-19 00:00:00,2.0,0.95,25.929548,-80.31146
283,0,,0.0,25.929554,-80.311424
284,0,,0.0,25.92956,-80.311386
285,2021-08-20 00:00:00,18.0,0.95,25.929565,-80.311356
286,2021-07-03 00:00:00,13.0,0.95,25.929571,-80.31132
287,0,,0.0,25.929577,-80.31128
288,0,,0.0,25.929583,-80.31125
289,0,,0.0,25.929588,-80.31121
290,0,,0.0,25.929594,-80.31118
291,0,,0.0,25.9296,-80.31114
292,0,,0.0,25.929605,-80.31111
293,0,,0.0,25.929611,-80.31107
294,0,,0.0,25.929617,-80.31104
295,2018-09-05 00:00:00,9.0,0.95,25.929577,-80.312065
296,0,,0.0,25.929583,-80.312035
297,0,,0.0,25.929588,-80.312
298,2018-02-01 00:00:00,22.0,0.95,25.929594,-80.311966
299,0,,0.0,25.9296,-80.31193
300,0,,0.0,25.929605,-80.3119
301,0,,0.0,25.929611,-80.31186
302,0,,0.0,25.929617,-80.31183
303,0,,0.0,25.929623,-80.3118
304,2022-10-26 00:00:00,4.0,0.95,25.929628,-80.31176
305,0,,0.0,25.929634,-80.31173
306,0,,0.0,25.929638,-80.31169
307,0,,0.0,25.929644,-80.31165
308,2022-06-28 00:00:00,12.0,0.95,25.92965,-80.31162
309,0,,0.0,25.929655,-80.311584
310,0,,0.0,25.929663,-80.311554
311,0,,0.0,25.929668,-80.311516
312,2022-12-01 00:00:00,1.0,0.95,25.929674,-80.31148
313,0,,0.0,25.92968,-80.31144
314,0,,0.0,25.929686,-80.31141
315,0,,0.0,25.929691,-80.31137
316,0,,0.0,25.929697,-80.31134
317,0,,0.0,25.9297,-80.31131
318,2021-10-19 00:00:00,17.0,0.95,25.929707,-80.31127
319,0,,0.0,25.929712,-80.31124
320,0,,0.0,25.929718,-80.31121
321,0,,0.0,25.929724,-80.31118
322,0,,0.0,25.929728,-80.31114
323,0,,0.0,25.929733,-80.31111
324,0,,0.0,25.929739,-80.31108
325,2018-09-17 00:00:00,20.0,0.95,25.9297,-80.312096
326,0,,0.0,25.929707,-80.31206
327,0,,0.0,25.929712,-80.31203
328,0,,0.0,25.929718,-80.31199
329,0,,0.0,25.929724,-80.31196
330,0,,0.0,25.92973,-80.31193
331,0,,0.0,25.929735,-80.31189
332,2022-02-28 00:00:00,21.0,0.95,25.929739,-80.31186
333,2018-07-31 00:00:00,12.0,0.95,25.929745,-80.31182
334,0,,0.0,25.92975,-80.31179
335,2021-09-13 00:00:00,34.0,0.95,25.929756,-80.31175
336,2021-11-12 00:00:00,30.0,0.95,25.929762,-80.31172
337,0,,0.0,25.929768,-80.31168
338,2020-11-29 00:00:00,14.0,0.95,25.929773,-80.31165
